Lat,Long,name,Stage,Icon,MW
55.76694444,-3.738888889,Black Law Extension,Consented,measle_turquoise,
50.3475,-3.683611111,Blackawton Village Hall,In planning,measle_grey,
55.89777778,-2.372777778,Blackburn Farm,In planning,measle_grey,
55.09166667,-4.109166667,"Blackcraig, Glenkens",Consented,measle_turquoise,
53.5475,-1.704722222,Blackstone Edge,Consented,measle_turquoise,
51.98805556,-4.445277778,Blaen Bowi,Operational,small_red,3.9
55.75666667,-4.109722222,Blantyre Muir Ext,Consented,measle_turquoise,
52.71138889,1.6675,Blood Hill,Operational,small_red,2.25
55.13583333,-1.490277778,Blyth Offshore,Operational,small_red,3.8
29.58527778,54.42472222,Boardinghouse Farm,Consented,measle_turquoise,
52.17888889,-1.277222222,Boddington Reservoir,Consented,measle_turquoise,
57.55527778,-2.1,Bogenjohn Farm,In planning,measle_grey,
57.56027778,-2.291666667,Bogenlea,Consented,measle_turquoise,
51.56277778,-2.960833333,Border Precision Ltd,Consented,measle_turquoise,
58.3,-3.433333333,Boulfruich,Operational,small_red,13
54.89944444,-1.8875,Boundary Lane,In planning,measle_grey,
55.71555556,-3.139722222,Bowbeat,Operational,small_red,31.2
57.64638889,-2.604722222,Boyndie Airfield,Operational,small_red,14
57.64638889,-2.604722222,Boyndie Extension,Operational,small_red,2.3
55.87277778,-3.879444444,Bracco,In planning,measle_grey,
53.59388889,-0.620833333,Bradken UK,In planning,measle_grey,
